id,question,expected_response,actual_response,metric 1,accuracy.output,accuracy.reasoning,eval_accuracy.version
04086904-3695-403b-905f-d71d14b1b08c,What is the ATP Tour?,"The ATP (Association of Tennis Professionals) Tour is the worldwide top-tier professional tennis circuit for men organized by the Association of Tennis Professionals. It includes Grand Slam tournaments, ATP Masters 1000, ATP 500 series, and ATP 250 tournaments.","Organized by the Association of Tennis Professionals, the ATP Tour represents the premier global circuit for men's professional tennis. The tour encompasses various tournament tiers, including Grand Slams, Masters 1000 events, ATP 500 tournaments, and ATP 250 competitions.",1.0,,"Both statements accurately describe the ATP Tour as the top-tier men’s professional tennis circuit organized by the ATP and correctly list its tournament categories (Grand Slams, Masters 1000, ATP 500, ATP 250).",1 - Inaccurate
a6ffe61e-ab31-4de9-aba2-564dcef2f091,What is the Challenge System in tennis?,"The Challenge System, often using Hawk-Eye technology, allows players to challenge line calls made by officials. Each player is allocated a limited number of incorrect challenges per set. If their challenge is correct, they retain that challenge.","In professional tennis, the Challenge System (typically powered by Hawk-Eye technology) gives players the opportunity to contest line calls. Players receive a set number of challenge attempts per set, and they don't lose a challenge if the review proves them correct.",1.0,,"Both descriptions accurately state that professional tennis players have a limited number of challenges per set, use Hawk-Eye technology to review line calls, and retain a challenge if their challenge is upheld.",1 - Inaccurate
68adcbfc-d042-4682-9150-0bf320697363,What is the Davis Cup in tennis?,The Davis Cup is the premier international team event in men's tennis. Countries compete against each other with teams consisting of their top male players. It was established in 1900 and is organized by the International Tennis Federation.,"Founded in 1900, the Davis Cup represents the most prestigious team competition in men's tennis. It features national teams competing against one another, with each country's top male players representing their nation. The International Tennis Federation oversees this tournament.",1.0,,"The second statement accurately restates all key facts: established in 1900, premier/most prestigious team event in men’s tennis, national teams of top male players, and organized by the International Tennis Federation.",2. OK
31c9ee8c-37dc-4b30-8f63-e80afe24f3a4,How tall is the net in tennis?,The net in tennis is 3 feet (0.914 meters) high at the center and 3 feet 6 inches (1.07 meters) high at the posts on either side of the court.,"A tennis net measures 3 feet (or 0.914 meters) in height at its center point. At the net posts on each side, it stands at 3 feet 6 inches (1.07 meters) tall.",1.0,,Both statements accurately describe the official tennis net heights—3 feet (0.914 meters) at center and 3 feet 6 inches (1.07 meters) at the posts—and are equivalent in meaning.,2. OK
dfc3fb99-7f37-4d99-a824-e744a67d0245,What is a breadstick in tennis terminology?,"In tennis slang, a 'breadstick' refers to a score of 6-1 in a set, where one player wins six games and their opponent wins only one. The term comes from the numerical '1' resembling a breadstick.","Tennis fans and players use the term 'breadstick' to describe a set that ends with a 6-1 score. The nickname originates from the visual similarity between the number '1' and the shape of a breadstick, indicating when a player manages to win just a single game in a set.",1.0,,Both statements accurately describe the tennis slang term “breadstick” for a 6-1 set and correctly explain that it derives from the visual similarity of the numeral “1” to a breadstick.,2. OK
8f883e9c-0d88-471e-b250-9ce8962616b3,What is a tiebreak in tennis?,A tiebreak is a special game played in tennis when the score reaches 6-6 in a set. The first player to reach 7 points with a 2-point lead wins the tiebreak and the set. Some tournaments and specific sets may have different tiebreak rules.,"When players reach a 6-6 tie in a tennis set, they play a tiebreak game. The player who first reaches 7 points (with at least a 2-point advantage) wins the tiebreak and consequently the set. Different tournaments might employ variations of tiebreak rules for certain sets.",1.0,,"Both statements correctly describe the standard tennis tiebreak: played at 6-6, first to 7 points with a 2-point margin wins, with possible tournament variations. They are equivalent and accurate.",1 - Inaccurate
2c95632d-0c42-4bc3-a87a-d8c1fab9a1cc,Who has the record for most aces in tennis?,"American John Isner holds the record for most aces in ATP Tour history with over 13,000 aces throughout his career.","The all-time ATP Tour record for most career aces belongs to American player John Isner, who has blasted more than 13,000 aces during his professional tennis career.",1.0,,"Both statements accurately convey that American player John Isner holds the all-time ATP Tour record for career aces with over 13,000.",1 - Inaccurate
b03d9951-2724-4cd8-8138-d381e3de4837,How many Grand Slam titles has Rafael Nadal won?,"Rafael Nadal has won 22 Grand Slam singles titles throughout his career, including a record 14 French Open titles.","Rafael Nadal's Grand Slam singles title count stands at 22, with his most dominant performance being at the French Open where he has claimed an unprecedented 14 championships.",1.0,,Both statements accurately report that Rafael Nadal has won 22 Grand Slam singles titles and a record 14 French Open titles.,3 - Perfect
d9d37219-22c9-486a-bfa3-c5f70ab7683b,What is a Grand Slam in tennis?,"A Grand Slam in tennis refers to winning all four major tournaments (Australian Open, French Open, Wimbledon, and US Open) in a single calendar year. The term also refers to these four major tournaments collectively.","In tennis, a Grand Slam is achieved when a player wins all four major championships - the Australian Open, French Open, Wimbledon, and the US Open - within the same calendar year. These four tournaments are also collectively known as the Grand Slams.",1.0,,Both statements accurately and equivalently define a Grand Slam in tennis as winning all four major tournaments in a single calendar year and correctly note that the term also refers collectively to those tournaments.,3 - Perfect
22daa8f8-ae0e-4843-a41b-0ab0bdb01fe0,What is a let in tennis?,"A let in tennis occurs when a served ball touches the net but still lands in the correct service box. When this happens, the serve does not count and is retaken. Lets also occur if there is a disturbance that interrupts play.","In tennis, when a served ball hits the net but lands in the proper service box, it's called a let. The server gets to retake that serve without penalty. A let may also be called when play is disrupted by outside interference.",1.0,,"Both descriptions correctly define a let in tennis: a served ball that touches the net and lands in the correct service box results in a retake of the serve, and play can also be stopped for outside interference or disturbance, leading to a let.",3 - Perfect
49ed136e-505f-435c-9f61-88d7345e0428,What is a wild card in tennis tournaments?,"A wild card in tennis is a special entry given to a player who doesn't qualify based on ranking or other standard qualification criteria. Wild cards are typically given to local players, promising young talents, returning champions, or players recovering from injury.","Tennis tournaments offer wild card entries to allow players who haven't qualified through rankings or standard criteria to participate. These special entries are commonly granted to hometown competitors, emerging young talents, former champions, or athletes returning from injuries.",1.0,,"The final answer accurately restates the definition and typical recipients of wild cards in tennis, matching the original description in meaning and detail.",3 - Perfect
42b167e9-c4df-420b-a12f-c42692f255a2,What is the WTA Tour?,"The WTA (Women's Tennis Association) Tour is the principal professional tennis tour for women worldwide, organized by the Women's Tennis Association. It includes Grand Slam tournaments, WTA 1000, WTA 500, and WTA 250 events.","The Women's Tennis Association organizes the WTA Tour, which stands as the primary professional tennis circuit for female players globally. It features tournament categories including Grand Slams, WTA 1000, WTA 500, and WTA 250 competitions.",1.0,,"Both statements convey the same information accurately: that the WTA organizes the primary women’s professional tennis tour, which includes Grand Slams and WTA 1000, 500, and 250 events.",1 - Inaccurate
470cce9b-8a0c-4064-b89a-f839ca3eb0bd,How long is a tennis court?,"A standard tennis court is 78 feet (23.77 meters) long. For singles matches, the court is 27 feet (8.23 meters) wide, and for doubles matches, it is 36 feet (10.97 meters) wide.",The length of a regulation tennis court measures 78 feet (23.77 meters). Its width varies: 27 feet (8.23 meters) for singles play and 36 feet (10.97 meters) for doubles matches.,1.0,,"Both statements accurately describe a regulation tennis court: length of 78 feet (23.77 meters), width of 27 feet (8.23 meters) for singles, and 36 feet (10.97 meters) for doubles.",1 - Inaccurate
327339fc-0b37-4691-a18b-30a4010d8fd7,Who has won the most Grand Slam singles titles in men's tennis?,Novak Djokovic holds the record for most Grand Slam singles titles in men's tennis with 24 championships as of 2023.,"As of 2023, Novak Djokovic leads men's tennis with 24 Grand Slam singles titles, establishing himself as the all-time leader in major championships.",1.0,,"Both statements accurately report that Novak Djokovic holds 24 Grand Slam singles titles as of 2023, making him the all-time leader in men’s tennis.",3 - Perfect
4688c9b3-486b-4f2b-8aad-5384d7141b10,Which Grand Slam tournament is played on hard courts?,"Both the Australian Open and the US Open are played on hard courts. The Australian Open uses an acrylic-based hard court called GreenSet, while the US Open uses DecoTurf, a faster acrylic-based hard court.","Two Grand Slam tournaments are contested on hard courts: the Australian Open, which uses GreenSet (an acrylic-based surface), and the US Open, which features DecoTurf, known for being a slightly faster acrylic hard court.",1.0,,Both statements accurately describe that the Australian Open uses GreenSet (an acrylic-based hard court) and the US Open uses DecoTurf (a slightly faster acrylic-based hard court). They convey the same facts with no discrepancies.,3 - Perfect
f5c92812-39ba-4e46-beb6-9c6b255fc33c,What is the Billie Jean King Cup?,The Billie Jean King Cup (formerly known as the Fed Cup) is the premier international team competition in women's tennis. It's the women's equivalent of the Davis Cup and was renamed in 2020 to honor tennis legend Billie Jean King.,"Formerly called the Fed Cup, the Billie Jean King Cup serves as the top international team tournament for women's tennis, comparable to the men's Davis Cup. In 2020, it was renamed to honor tennis icon Billie Jean King and her contributions to the sport.",1.0,,"Both statements accurately describe the competition: it was formerly the Fed Cup, is the premier women’s team tennis event equivalent to the Davis Cup, and was renamed in 2020 to honor Billie Jean King.",3 - Perfect
eebc7faf-cd7b-4a56-9f1d-fe234da59698,What surface is the French Open played on?,"The French Open is played on clay courts, specifically red clay (crushed brick) at the Roland Garros stadium in Paris.","Clay is the surface used for the French Open, which takes place at Roland Garros in Paris. Specifically, the tournament is played on red clay courts made from crushed brick.",1.0,,Both statements correctly describe that the French Open is held at Roland Garros in Paris on red clay courts made from crushed brick.,3 - Perfect
3c4d2833-7580-4c6d-9b1f-672df0e8ad31,What is the term for zero points in tennis?,"In tennis, zero points is called 'love'. The scoring sequence in a game goes: love, 15, 30, 40, and then game point.","'Love' is the term used in tennis to represent zero points. The standard scoring progression in a tennis game follows: love, 15, 30, 40, followed by game point.",1.0,,"The answer correctly states that in tennis ‘love’ means zero points and accurately lists the standard game scoring sequence: love, 15, 30, 40, then game point. This is fully accurate and complete.",2. OK
cb35bce4-572b-47f9-9f8f-0c279df2f58a,What is the longest tennis match in history?,"The longest tennis match in history was played at Wimbledon in 2010 between John Isner and Nicolas Mahut. It lasted 11 hours and 5 minutes over three days, with Isner eventually winning 70-68 in the fifth set.","John Isner and Nicolas Mahut contested the longest match in tennis history during Wimbledon 2010. Spanning three days with a total duration of 11 hours and 5 minutes, the match concluded with Isner defeating Mahut 70-68 in an extraordinary fifth set.",1.0,,"Both statements accurately describe the longest tennis match in history: it took place at Wimbledon 2010, lasted 11 hours 5 minutes over three days, and ended with Isner defeating Mahut 70-68 in the fifth set.",2. OK
820659d0-940a-45d3-8844-8603d4dadd07,What is a bagel in tennis terminology?,"In tennis, a 'bagel' refers to a score of 6-0 in a set, where one player wins all six games against their opponent. The term comes from the zero's resemblance to a bagel shape.","Tennis players and fans use the term 'bagel' to describe a set that ends with a 6-0 score. This nickname originated because the zero visually resembles the shape of a bagel, indicating when one player fails to win any games in a set.",1.0,,"Both statements correctly define a tennis ""bagel"" as a 6-0 set and explain the term’s origin from the zero’s resemblance to a bagel shape. They convey the same accurate information.",2. OK
0db0f2a6-c89f-4760-b88b-d08ed38b37b4,Who invented tennis?,"Modern tennis was developed in the 1870s by Major Walter Clopton Wingfield, who patented the game as 'lawn tennis' in 1874. However, various ball games similar to tennis had been played since ancient times.","Major Walter Clopton Wingfield is credited with inventing modern tennis in the 1870s, patenting it as 'lawn tennis' in 1874. The sport evolved from earlier racquet-and-ball games that date back centuries.",1.0,,"Both statements correctly attribute the invention of modern lawn tennis to Major Wingfield in the 1870s, note his 1874 patent, and acknowledge the sport’s evolution from earlier racquet-and-ball games. The final answer is accurate and complete.",2. OK
65b8a50a-36d0-4160-baed-8d046d70bc40,Who won the most consecutive Wimbledon men's singles titles?,"Roger Federer holds the record for most consecutive Wimbledon men's singles titles in the Open Era, winning 5 in a row from 2003 to 2007. In the pre-Open Era, William Renshaw also won 6 consecutive titles from 1881 to 1886.","The record for consecutive Wimbledon men's singles championships in the Open Era belongs to Roger Federer, who claimed 5 straight titles between 2003 and 2007. Going back to the pre-Open Era, William Renshaw achieved 6 consecutive victories from 1881 through 1886.",1.0,,Both statements correctly identify Federer’s record of 5 consecutive Open Era titles (2003–2007) and Renshaw’s 6 consecutive pre-Open Era titles (1881–1886).,2. OK
fb8e5cf2-e2d5-4a39-a802-b743583d0c18,What is a golden set in tennis?,"A golden set in tennis is when a player wins every point in a set without losing a single point, thus winning the set 6-0 with the score of 24-0 in points. This is extremely rare in professional tennis.","An extremely rare achievement in professional tennis, a golden set occurs when a player wins all 24 points in a 6-0 set, not conceding even a single point to their opponent throughout the entire set.",1.0,,"Both statements accurately describe a golden set in tennis as a 6-0 set in which a player wins all 24 points without dropping any, and correctly note its extreme rarity in professional play.",2. OK
5b9bae2f-0a6d-42c1-a6ce-c52889c93ab0,What is a tweener in tennis?,"A tweener, or between-the-legs shot, is a tennis stroke where the player hits the ball between their legs with their back to the net. It's typically used as a last resort when a player is running away from the net to retrieve a lob.","In tennis, a tweener refers to a shot executed by hitting the ball between one's legs while facing away from the net. Players typically employ this spectacular shot as a defensive measure when chasing down a lob, with their back turned to their opponent.",1.0,,Both descriptions accurately define the tweener shot in tennis—hitting the ball between the legs with back to the net while chasing a lob. There are no factual discrepancies.,2. OK
38725a64-e66f-4c3c-9da4-e6921f255d03,Who was the youngest Grand Slam winner in tennis?,"Martina Hingis is the youngest Grand Slam singles winner in the Open Era, winning the 1997 Australian Open at the age of 16 years and 3 months.","The record for youngest Grand Slam singles champion in the Open Era belongs to Martina Hingis, who claimed the Australian Open title in 1997 when she was just 16 years and 3 months old.",1.0,,Both statements accurately state that Martina Hingis became the youngest Grand Slam singles champion in the Open Era by winning the 1997 Australian Open at 16 years and 3 months old.,2. OK
3a3f78af-acc3-44bf-a6c8-981d7d93c93f,Who has won the Career Golden Slam in tennis?,"Only five players have achieved the Career Golden Slam (all four Grand Slams plus Olympic gold): Steffi Graf, Rafael Nadal, Andre Agassi, Serena Williams, and Venus Williams (in singles and doubles).","The Career Golden Slam, which requires winning all four Grand Slam tournaments plus an Olympic gold medal, has been achieved by just five tennis players: Steffi Graf, Rafael Nadal, Andre Agassi, Serena Williams, and Venus Williams (who completed it in both singles and doubles).",1.0,,"While the five players listed are correct, Venus Williams has not achieved a Career Golden Slam in singles—she has done so only in doubles. Claiming she completed it in both singles and doubles is incorrect.",2. OK
